stone_id,name,runic,transliteration,translation,page_url,image_url,image_filename
U 334,U 334 - Uppland: Orkesta kyrka,,(k)u[þs]n[o]n--þ[a]... stiain ' iftiR ' fa[þu]- ...[n] (b)iaorn * u(k) moþur * siena ' ...(f)(t)(n)-... ...-bi sialu ... [kt]il * risti,... stenen efter sin fader Björn och sin moder ... hjälpe själen ... Kättil ristade,https://www.christerhamp.se/runor/gamla/u1/u334.html,https://www.christerhamp.se/runor/gamla/u1/u334s.jpg,1096_U_334_U_334___Uppland__Orkesta_kyrka.jpg
U 335,U 335 - Uppland: Orkesta kyrka,,ulmi × lit × risa × stin × þina × uk × bru þisi × i(f)tiR × iru × faþur sin × uskarl × sifruþaR,"Holme lät resa denna sten och [göra] denna bro efter Hära, sin fader, Sigröds huskarl",https://www.christerhamp.se/runor/gamla/u1/u335.html,https://www.christerhamp.se/runor/gamla/u1/u335s.jpg,1097_U_335_U_335___Uppland__Orkesta_kyrka.jpg
U 336,U 336 - Uppland: Orkesta kyrka,,[ul]fR × lit × risa stin × þi[n]a × iftiR × unim × faþurs×bruþr sin þiR × buku × baþiR × i × baristam ',"Ulv lät resa denna sten efter Onäm, sin farbroder, de bodde båda i Bårresta",https://www.christerhamp.se/runor/gamla/u1/u336.html,https://www.christerhamp.se/runor/gamla/u1/u336s.jpg,1098_U_336_U_336___Uppland__Orkesta_kyrka.jpg
U 337,"U 337 - Uppland: Granby, Orkesta",,+ hemik + uk + sialfi + uk + iohan + þeiR + lata hakua + eftR + faþur sin + finuiþ + uk + uarkas × uk × rahnfriþ + uk moþur sina + uk + at + ikikerþi + uk + at + kalf + uk + kiarþar + u- ...-at + (h)an ati ' ein × alt fyrst × þat × uaru × freantr þeia + koþ : hialbi + ant þaira + uiseti + risti × runa þisa,"Häming och Själve och Johan de låter hugga efter sin fader Finnvid, och Vargas och Ragnfrid, och [efter] sin moder, och efter Ingegärd och efter Kalv och Gärdar och ... Han ägde ensam allt först. Det var deras fränder. Gud hjälpe deras ande. Visäte ristade dessa runor.",https://www.christerhamp.se/runor/gamla/u1/u337.html,https://www.christerhamp.se/runor/gamla/u1/u337s.jpg,1099_U_337_U_337___Uppland__Granby__Orkesta.jpg
U 338,"U 338 - Uppland: Granby, Orkesta",,þurstin × uk × ragnfriR × þu (r)(i)stu × stin × þina × iftiR × (b)iur[n] × i krnbu × bruþur × kalfs × anum × ua [at * uikmu--R × ku]þ ihlbi × [o]ns × ot × uk × salu × bitr × þan × on karþ[i] -il,"Torsten och Ragnfrid de reste denna sten efter Björn i Granby, Kalvs broder. Honom dräpte Vigmund. Gud hjälpe hans ande och själ bättre än han förtjänade.",https://www.christerhamp.se/runor/gamla/u1/u338.html,https://www.christerhamp.se/runor/gamla/u1/u338s.jpg,1100_U_338_U_338___Uppland__Granby__Orkesta.jpg
U 340,U 340 - Uppland: Orkesta,,... × lit ... ...ain × auk ' ...,... lät ... Sven / Sten och ...,https://www.christerhamp.se/runor/gamla/u1/u340.html,https://www.christerhamp.se/runor/gamla/u1/u340s.jpg,1101_U_340_U_340___Uppland__Orkesta.jpg
U 341,"U 341 - Uppland: Söderby, Orkesta",,[ikiauoR li]t reis[a] × (s)(t)in × þens[a] × iftiR × kalf × fuþur × si[n × auk × aft]ir × i[ku-] + bru[þa] + sin × huk × iftiR × ragnui × mu sina × nu ilbi × kuþ × salu × þiRa × auk × kus × muþiR,"Ingjald lät resa denna sten efter Kalv, sin fader, och efter Ragnvi, sin moder. Nu hjälpe Gud och Guds moder deras själ.",https://www.christerhamp.se/runor/gamla/u1/u341.html,https://www.christerhamp.se/runor/gamla/u1/u341s.jpg,1102_U_341_U_341___Uppland__Söderby__Orkesta.jpg
U 342,"U 342 - Uppland: Söderby, Orkesta",,... ...-[i]n + þansi + iftiR + kalf × bur[u]... ...,"... denna sten efter Kalv, broder ...",https://www.christerhamp.se/runor/gamla/u1/u342.html,https://www.christerhamp.se/runor/gamla/u1/u342s.jpg,1103_U_342_U_342___Uppland__Söderby__Orkesta.jpg
U 344,U 344 - Uppland: Yttergärde,,in ulfr hafiR o| |onklati ' þru kialt| |takat þit uas fursta þis tusti ka-t ' þ(a) ---- (þ)urktil ' þa kalt knutr,"Men Ulv har i England tagit tre gälder. Det var den första, som Toste gäldade. Sedan gäldade Torkel. Sedan gäldade Knut",https://www.christerhamp.se/runor/gamla/u1/u344.html,https://www.christerhamp.se/runor/gamla/u1/u344s.jpg,1104_U_344_U_344___Uppland__Yttergärde.jpg
U 347,"U 347 - Uppland: Näs, Frösunda",,lefstein * lit kera * siR * til * sialu*botar * ok * sini kunu * ikirun * ok * sinum * sunum * iarntr * ok * nikulas * ok * luþin * broaR *,Livsten lät göra broarna till själabot för sig och sin hustu Ingerun och sina söner Jorund och Niklas och Luden,https://www.christerhamp.se/runor/gamla/u1/u347.html,https://www.christerhamp.se/runor/gamla/u1/u347s.jpg,1105_U_347_U_347___Uppland__Näs__Frösunda.jpg
